,Team Name,Home,Draw,Away,Result:HT,Result:FT,Result,RedCard?,timestamp,League
,Renate,1.59,4.06,4.42,0_1,1_1,3,0,12/30/99 5:00 PM,Int Club Friendly
,Univ Craiova,1.49,3.79,6.15,1_0,2_1,1,1 Away Red,12/30/99 6:30 PM,Romania Liga1
,Serbia U17,2.06,3.39,3.14,1_0,1_2,2,2,12/30/99 6:30 PM,U17 Friendly
,Hungary U17,2.27,3.4,2.73,0_2,0_2,2,0,12/30/99 6:30 PM,U17 Friendly
,MSK Zilina B,1.74,3.53,4.14,1_0,4_2,1,0,12/30/99 6:00 PM,
,Flora Tallinn,2.45,3.32,2.56,2_1,6_1,1,0,12/30/99 7:00 PM,Estonial Premium Liiga
,Atlantis,1.76,3.62,3.93,0_0,3_0,1,0,12/30/99 8:00 PM,Finland Kakkonen Lansi
,Rigas Futbola Skola,1.54,3.75,5.4,1_0,3_0,1,1 Away Red,12/30/99 9:00 PM,Latvia - Virsliga
,Pogon Szczecin,2.31,3.03,2.97,0_2,0_2,2,0,12/30/99 10:00 PM,Poland Ekstraklasa
,Rubio NU,1.71,3.57,4.29,4_0,5_1,1,0,12/30/99 1:00 AM,Paraguay Clausura
,Salguiro PE,2.31,2.97,3.03,1_0,1_0,1,0,12/30/99 1:06 AM,Brazilian Serie C
,PK-35,2.82,3.14,2.46,0_0,1_1,3,0,12/30/99 6:30 PM,Finland Veikkausliiga
,FC Santa Claus,3.17,4.14,1.84,1_2,1_3,2,0,12/30/99 6:30 PM,Finland Kakkonen Pohjoinen
,Atlantas KL,3.15,3.36,2.06,0_0,0_1,2,1 Away Red,12/30/99 6:30 PM,Lithuania A LIGA
,Hodd,2.15,3.07,2.66,1_0,1_0,1,,12/30/99 8:00 PM,Norway 1st Division
,Dunajska Streda,2.41,3.03,2.82,0_0,0_1,2,,12/30/99 8:00 PM,Slovakia Superliga
,Orgryte IS,1.62,3.96,4.79,1_1,3_3,3,,12/30/99 8:00 PM,Sweden Superettan
,Unterhaching,1.26,5.15,9.02,0_0,2_0,1,,12/30/99 8:00 PM,Germany Amateur
